qno,Questions,new_paratext
70,which option is not an adaptation of animals living in polar regions?\n,"[' The mountain goat has strong hooves for running up the rocky slopes of the mountains', ' Animals living in the mountain regions have thick skin or fur to protect Animals living in the mountain regions from cold', ' They may have different kinds of adaptations to survive on the mountains', ' Snow leopards have thick fur on Snow leopardss body including feet and toes', ' Animals living in the mountain regions are also adapted to the conditions there', ' For example, yaks have long hair to keep yaks warm', ' As we go up in the mountainous regions, the surroundings change and we see different kinds of adaptations at different heights']"
71,Which habitat is suitable for animals with thick fur? \n,"[' The mountain goat has strong hooves for running up the rocky slopes of the mountains', ' Animals living in the mountain regions have thick skin or fur to protect Animals living in the mountain regions from cold', ' There is a large variety of plants and animals living in the mountain regions', ' They may have different kinds of adaptations to survive on the mountains', ' Snow leopards have thick fur on Snow leopardss body including feet and toes', ' Animals living in the mountain regions are also adapted to the conditions there']"
72,What type of trees generally found in mountain region ?\n,"[' There could be trees with shapes very different from these that are also present on mountains', ' Here, trees are normally cone shaped and have sloping branches', 'Mountain regions are normally very cold and windy', ' The leaves of some of trees are needle-like', ' There is a large variety of plants and animals living in the mountain regions', ' They may have different kinds of adaptations to survive on the mountains', ' Animals living in the mountain regions are also adapted to the conditions there']"
73,Which type of habitat is very cold and windy with snowfall ?,"[' There could be trees with shapes very different from these that are also present on mountains', 'Mountain regions are normally very cold and windy', ' There is a large variety of plants and animals living in the mountain regions', ' They may have different kinds of adaptations to survive on the mountains', ' Animals living in the mountain regions are also adapted to the conditions there', ' In some areas, snowfall may take place in winters']"
74,which of the following is the characteristic feature of organisms exhibiting symbiosis?\n,"[' Plants like the pitcher plant are insectivorous', ' In organisms called lichens, a chlorophyll-containing partner, which is an alga, and a fungus live together', ' Some plants like funguses, loranthus, dodder use other plants for food and are said to be heterotrophic', ' Plants like the pitcher plant even consume insects', ' the fungus provides shelter, water and minerals to the alga and, in return, the alga prepares and provides food to the fungus', ' This relationship is called symbiosis', ' Plants like the pitcher plant provide nutrients to the fungus and, in return, the fungus provides water and certain nutrients', ' Some organisms live together and share both shelter and nutrients', ' For example, certain fungi live inside the roots of plants']"
75,which adaptation helps the cactus plant to minimize loss of water?\n,"[' This helps in reducing loss of water from the leaves through transpiration', ' Desert plants lose very little water through transpiration', ' The leaf-like structure you see in a cactus is, in fact, a cactuss stem', ' a cactuss stem is also covered with a thick waxy layer, which helps to retain water in the tissues of cacti', ' Most desert plants have roots that go very deep into the soil for absorbing water']"
76,what is the use of  long legs of a camel ?\n,"[' This helps in reducing loss of water from the leaves through transpiration', ' Desert plants lose very little water through transpiration', '', ' The leaves in desert plants are either absent, very small, or The leaves in desert plants are in the form of spines', ' desert animals like rats and snakes, which do not have long legs that a camel has come out only during the night, when it is cooler', ' The leaf-like structure you see in a cactus is, in fact, a cactuss stem', ' To stay away from the intense heat during the day, they stay in burrows deep in the sand', ' Most desert plants have roots that go very deep into the soil for absorbing water', 'There are desert animals like rats and snakes, which do not have long legs that a camel has']"
77,which habitat is adapted by  plant having very small leaves?\n,"[' This helps in reducing loss of water from the leaves through transpiration', ' Desert plants lose very little water through transpiration', ' The leaves in desert plants are either absent, very small, or The leaves in desert plants are in the form of spines', ' desert animals like rats and snakes, which do not have long legs that a camel has come out only during the night, when it is cooler', ' The leaf-like structure you see in a cactus is, in fact, a cactuss stem', ' Photosynthesis in these plants is usually carried out by the stems', ' Most desert plants have roots that go very deep into the soil for absorbing water']"
78,"which habitat is suitable for the plant having long, hollow and light stems and reduced size roots ?","[' Some aquatic plants are under water', ' Some of Some aquatic plants have narrow and thin ribbon-like leaves', ' The stems of aquatic plants are long, hollow and light', ' The stems of these plants grow up to the surface of water while the leaves and flowers float on the surface of water', ' However, in aquatic plants, roots are much reduced in size and aquatic plants main function is to hold the plant in place', 'In terrestrial plants, roots normally play a very important role in the absorption of nutrients and water from the soil', ' Some aquatic plants are submerged in water']"
79,which is the source of groundwater?\n,"[' This maintains the supply of water on land', ' Most of The Water becomes available to us as ground water', ' A part of the rainwater gets absorbed by the ground and seems to disappear in the soil', ' Some of the water that falls on land as rain, also flows in the form of rivers and streams', ' Ground water is the source for many lakes as well', ' Open wells are fed by groundwater']"
80,what is the meaning of water cycle ?\n,"[' This maintains the supply of water on land', ' The circulation of water in this manner is known as the water cycle', ' Most of the rivers cover long distances on land and ultimately fall into a sea or an ocean', ' Thus, water from the ocean and surface of the earth goes into air as vapor, returns as rain, hail or snow and finally goes back to oceans', ' Most of The Water becomes available to us as ground water', ' The circulation of water in this manner is a continuous process', ' The Water also fills up the lakes and ponds', ' Some of the water that falls on land as rain, also flows in the form of rivers and streams', ' However, The Water flows into lakes']"
81,how does photosynthesis help to maintain the percentage of oxygen and carbon dioxide in the atmosphere?\n,"[' So we find that chlorophyll, sunlight, carbon dioxide and water are necessary to carry out the process of photosynthesis', ' the energy of the sunlight the sunlight is used to synthesize   (prepare) food from carbon dioxide and water', ' During photosynthesis, chlorophyll containing cells of leaves, in the presence of sunlight, use carbon dioxide and water to synthesize carbohydrates', ' The leaves helps leaves to capture the energy of the sunlight', ' During the process oxygen is released', ' Besides, oxygen which is essential for the survival of all organisms is produced during photosynthesis']"
82,what is rain water harvesting?\n,"['One way of increasing the availability of water is to collect rainwater and store rainwater for later use', ' Instead of collecting rainwater in a storage tank, pipes can go directly into a pit in the ground', ' Here two techniques of rainwater harvesting are discussed', ' Collecting rainwater in One way of increasing the availability of water is called rainwater harvesting', ' The basic idea behind rainwater harvesting is “Catch water where The basic idea behind rainwater harvesting falls”', ' In Rooftop rainwater harvesting rainwater is collected from Rooftop to a storage tank, through pipes', ' What happens to the rainwater that falls in places that are mostly covered with concrete roads and buildings? The basic idea behind rainwater harvesting flows into the drains, is not The basic idea behind rainwater harvesting? From there water goes to rivers or lakes, which could be far away']"
83,where does floods occur?,"[' Heavy rains may lead to rise in the level of water in rivers, lakes and ponds', ' In our country, floods cause extensive damage to crops, domestic animals, property and human life', ' The crop fields, forests, villages, and cities may get submerged by water', ' This water may then spread over large areas causing floods', ' However, excess of rainfall may lead to many problems']"
84,what happens if there are no rains at a place for a long time?\n,"[' water in rivers, lakes and ponds may then spread over large areas causing floods', ' Rains also affect the animals living in the soil', 'Heavy rains may lead to rise in the level of water in rivers, lakes and ponds', ' The groundwater may also become scarce', ' In our country, floods cause extensive damage to crops, domestic animals, property and human life', ' This may lead to drought', ' The crop fields, forests, villages, and cities may get submerged by water', ' The level of water in ponds and wells of the region goes down and some of them may even dry up', ' In drought conditions, it is difficult to get food and fodder']"
85,which of these includes culturing of earthworms and redworms?\n,"['A type of earthworm called redworm is used for composting', ' Redworms do not survive in very hot or very cold surroundings', ' Redworms also need moisture around Redworms', ' A redworm can eat food equal to A redworm own weight, in a day', ' This method of preparing compost with the help of redworms is called vermicomposting', ' This would help redworms in grinding This food']"
86,which of the following items help red worms in grinding their food?\n,"['A type of earthworm called redworm is used for composting', ' Redworms also need moisture around Redworms', ' A redworm can eat food equal to A redworm own weight, in a day', ' This method of preparing compost with the help of redworms is called vermicomposting', ' This would help redworms in grinding This food', ' Powdered egg shells could be mixed with the wastes']"
87,what is called for the rotting and conversion of some materials into manure?\n,"[' Although all waste will eventually decompose, only certain waste items are considered compostable and should be added to compost containers', ' Composting is a form of waste disposal where organic waste decomposes naturally under oxygen-rich conditions', ' Adding meat products to compost should be avoided because as it decomposes, it will attract large animals and will smell very badly', ' Food waste, such as banana peels, coffee grinds and eggshells, are great items to compost', ' This method of preparing compost with the help of redworms is called vermicomposting', 'The process of natural decomposition is very important to one type of waste disposal', ' Powdered egg shells could be mixed with the wastes']"
88,which of the following 3 r's are useful to save the environment?\n,"[' Recycling means to turn something old and useless, like plastic milk jugs into something new and useful like picnic benches, playground equipment and recycling bins', ' The non-useful component is then spread over a landfill and then covered with a layer of soil', ' Reduce', 'In order to keep as much material out of the landfill as possible, it is important for each of us to do us part', ' Reuse means to find new ways to use things that otherwise would have been thrown out', ' There the part of the garbage that can be reused is separated out from the one that cannot be used as such', ' One of the ways to put that plan into action is through the 3 Rs of waste management such as Reduce, Reuse, Recycle', ' Reduce means to cut back on the amount of trash we generate']"
89,where do safai-karamcharis take the garbage after collecting it from dust-bins?\n,"[' Recycling means to turn something old and useless, like plastic milk jugs into something new and useful like picnic benches, playground equipment and recycling bins', ' Safai karamcharis collect the garbage in trucks and take Safai karamcharis to a low lying open area, called a landfill', ' There the part of the garbage that can be reused is separated out from the one that cannot be used as such', ' One of the ways to put that plan into action is through the 3 Rs of waste management such as Reduce, Reuse, Recycle', ' Thus, the garbage in trucks has both useful and non-useful components', ' Reduce means to cut back on the amount of trash we generate']"
90,how is garbage handled at the landfill site?\n,"[' To deal with some of the useful components of garbage, compost making areas are developed near a landfill', ' The non-useful component is then spread over a landfill and then covered with a layer of soil', ' Once a landfill is completely full, the landfill is completely full is usually converted into a park or a playground', ' There the part of the garbage that can be reused is separated out from the one that cannot be used as such', ' Thus, the garbage in trucks has both useful and non-useful components', 'In order to keep as much material out of the landfill as possible, it is important for each of us to do us part']"
91,what is garbage dump?\n,"[' To deal with some of the useful components of garbage, compost making areas are developed near a landfill', ' The non-useful component is then spread over a landfill and then covered with a layer of soil', ' Safai karamcharis collect the garbage in trucks and take Safai karamcharis to a low lying open area, called a landfill', ' Once a landfill is completely full, the landfill is completely full is usually converted into a park or a playground', ' There the part of the garbage that can be reused is separated out from the one that cannot be used as such', ' Thus, the garbage in trucks has both useful and non-useful components', 'In order to keep as much material out of the landfill as possible, it is important for each of us to do us part']"
92,how is roughage important to humans?\n,"[' the food is of no use to the body', ' Fibrous substances help the food to move forward in the alimentary canal at the right speed', ' Roughage is mainly provided by plant products in our foods', ' Fibre is also called ‘roughage’', 'In the process of digestion, fibre has a special function', ' Roughage does not provide any nutrient to our body, but is an essential component of our food and adds to Roughage bulk', ' This helps our body get rid of undigested food', ' Whole grains and pulses, potatoes, fresh fruits and vegetables are main sources of roughage', ' Dietary fibers are also known as roughage', ' Fibre helps to form stool from the food']"
93,which separation technique is based on the difference in weights of the solids in a solid-solid mixture ?\n,"[' Winnowing is used to separate heavier and lighter components of a mixture by wind or by blowing air', ' Sieving allows lighter husk particles to pass through the holes of a sieve while the bigger impurities remain on a sieve', ' The separated husk is used for many purposes such as fodder for cattles', ' Sieving removes pieces of stones, stalk and husk that may remain with wheat after threshing and winnowing', ' The seeds of grain get separated and form a heap near the platform for winnowing', 'The method of separating components of a mixture is called winnowing', ' The method of separating components of a mixture is commonly used by farmers to separate lighter husk particles from heavier seeds of grain', ' You may have also noticed similar sieves being used at construction sites to separate pebbles and stones from sand']"
94,which separation technique is used to separate the components of a solid-solid mixture of different sizes ?\n,"[' You may have also noticed similar sieves being used at construction sites to separate pebbles and stones from sand', ' Sieving allows lighter husk particles to pass through the holes of a sieve while the bigger impurities remain on a sieve', ' Sieving removes pieces of stones, stalk and husk that may remain with wheat after threshing and winnowing', ' The seeds of grain get separated and form a heap near the platform for winnowing', 'The method of separating components of a mixture is called winnowing', ' The method of separating components of a mixture is commonly used by farmers to separate lighter husk particles from heavier seeds of grain', ' In a flour mill, impurities like husk and stones are removed from wheat before grinding wheat', ' Winnowing is used to separate heavier and lighter components of a mixture by wind or by blowing air']"
95,why stainless steel pans are usually provided with copper bottoms ?\n,"[' For examples, aluminum, iron and copper', ' Poor conductors are known as insulators', ' The water and air are poor conductors of heat', ' The materials which do not allow heat to pass through them easily are poor conductors of heat such as plastic and wood', ' Can you lift a hot pan by holding a hot pan from the handle without getting hurt? The materials which allow heat to pass through them easily are conductors of heat', ' Do all substances conduct heat easily? You must have observed that the metallic pan for cooking has a plastic or wooden handle']"
96,which of the following is a good conductor of heat?\n,"[' For examples, aluminum, iron and copper', ' Poor conductors are known as insulators', ' The water and air are poor conductors of heat', ' The materials which do not allow heat to pass through them easily are poor conductors of heat such as plastic and wood', ' the process of conduction continues till The water and air gets heated', ' In solids, generally, the heat is transferred by the process of conduction', ' Do all substances conduct heat easily? You must have observed that the metallic pan for cooking has a plastic or wooden handle']"
97,how is heat conducted in solids?\n,"[' The water and air are poor conductors of heat', 'The process by which heat is transferred from the hotter end to the colder end of an object is known as conduction', ' The materials which do not allow heat to pass through them easily are poor conductors of heat such as plastic and wood', ' the process of conduction continues till The water and air gets heated', ' In solids, generally, the heat is transferred by the process of conduction', ' This mode of heat transfer is known as convection']"
98,why the surface is hotter over the top of a fire than on the sides?\n,"[' the water near the flame the sides also gets hot and rises and water from the sides moves down', ' In this way The air near the heat source gets heated', ' the water near the flame moves down towards the source of heat', ' Therefore, the hand above the flame feels hot', 'When water is heated, the water near the flame gets hot', ' The air near the heat source comes in to take The air from the sidess place']"
99,by which mode of transmission of heat does air get heated up?\n,"[' In this way The air near the heat source gets heated', ' How does the heat travel in air? In which direction does the smoke go? The air near the heat source gets hot and rises', ' On the sides, however, there is no convection and air does not feel as hot as at the top', ' The air near the heat source comes in to take The air from the sidess place', ' This mode of heat transfer is known as convection', ' Do your hands feel equally hot? If not, which hand feels hotter? And why? Notice that towards the top, The air near the heat source gets heated by convection']"
100,what happens in convection?\n,"['The process by which heat is transferred from the hotter end to the colder end of an object is known as conduction', ' the process of conduction continues till the water near the flame gets heated', ' Hence, water requires a medium to transfer heat', ' In solids, generally, the heat is transferred by the process of conduction', ' This mode of heat transfer is known as convection']"
101,what is sea breeze ?\n,"[' The warm air from the land moves towards the sea to complete the cycle', ' The cooler air from the sea rushes in towards the land to take the land place', ' This is called the land breeze', ' The air from the sea is called the sea breeze', ' So, the cool air from the land moves towards the sea']"
102,what happens in sea breeze during day time ?\n,"[' The warm air from the land moves towards the sea to complete the cycle', ' The cooler air from the sea rushes in towards the land to take the land place', ' This is called the land breeze', ' The air from the sea is called the sea breeze', ' So, the cool air from the land moves towards the sea']"
103,which of the following is the correct sequence of human nutrition?\n,"[' The process of taking food into the body is called absorption', ' The large intestines function is to absorb water and some salts from the undigested food material', ' The breakdown of complex components of food into simpler substances is called digestion', ' The absorbed substances are transported via the blood vessels to different organs of the body where the blood vessels are used to build complex substances such as the proteins required by the body', ' The process of taking food into the body is called ingestion']"
104,which tiny structure helps for the absorption of digested food?\n,"[' The remaining waste passes into the rectum and remains there as semi-solid feces', ' The large intestine is about 1', ' food can now pass into the blood vessels in the wall of the intestine', ' The large intestines function is to absorb water and some salts from the undigested food material', ' The large intestine is wider and shorter than the intestine', ' The villi increases the surface area for absorption of food', ' The breakdown of complex components of food into simpler substances is called digestion', ' The surface of The villi absorbs the digested food materials', ' These are called villi   singular villus', ' The inner walls of the intestine have thousands of finger-like outgrowths']"
105,which of the following systems is responsible for producing enzymes for breakdown of substances? \n,"['We take in food through the mouth, digest and utilize the mouth', ' The food components gradually get digested as food travels through the various compartments', ' The digestive tract and the associated glands together constitute the digestive system', ' The inner walls of the stomach and the small intestine, and the various glands associated with the canal such as salivary glands, the liver and the pancreas secrete digestive juices', ' Have you ever wondered what happens to the food inside the body? the food inside the body the body passes through a continuous canal which begins at the buccal cavity and ends at the anus', ' digestive juices convert complex substances of food into simpler ones']"
106,which of the following helps in digestion in amoeba?\n,"[' Digestive juices are secreted into a food vacuole', ' When Amoeba senses food, Amoeba pushes out pseudopodia around the food particle and engulfs the food particle', ' Amoeba feeds on some microscopic organisms', 'Amoeba is a microscopic single-celled organism found in pond water', ' Amoeba has a cell membrane, a rounded, dense nucleus and many small bubble-like vacuoles in Amoebas cytoplasm', ' Amoeba pushes out one, or more finger-like projections, called pseudopodia or false feet for movement and capture of food', ' The undigested residue of the food particle is expelled outside by a food vacuole']"
107,which part of the alimentary canal is used to complete digestion and absorption of food ?\n,"[' The partly digested food now reaches the lower part of the small intestine where the pancreas completes the digestion of all components of The partly digested food', ' Besides, The small intestine wall also secretes juices', ' The small intestine receives secretions from the liver and the pancreas', 'The small intestine is highly coiled and is about 7', ' The bile plays an important role in the digestion of fats']"
108,where does the liver and pancreas release their secretions?\n,"[' The partly digested food now reaches the lower part of the small intestine where the pancreas completes the digestion of all components of The partly digested food', ' Besides, The small intestine wall also secretes juices', ' The small intestine receives secretions from the liver and the pancreas', 'The small intestine is highly coiled and is about 7', ' the pancreas is a large cream coloured gland located just below the stomach', ' the liver and the pancreas secretes bile juice that is stored in a sac called the gallbladder', ' the liver and the pancreas is a reddish brown gland situated in the upper part of the abdomen on the right side']"
109,which one of the following is broken down into glucose by intestinal juice?\n,"[' The partly digested food now reaches the lower part of the small intestine where the pancreas completes the digestion of all components of The partly digested food', ' Besides, The small intestine wall also secretes juices', ' the pancreas acts on carbohydrates, fats and proteins and changes the pancreas into simpler forms', ' The small intestine receives secretions from the liver and the pancreas', ' carbohydrates, fats and proteins get broken into simple sugars such as glucose, fats into fatty acids and glycerol, and proteins into amino acids', ' the liver and the pancreas secretes bile juice that is stored in a sac called the gallbladder']"
110,which of the following is not correct for the small intestine? \n,"[' The partly digested food now reaches the lower part of the small intestine where the pancreas completes the digestion of all components of The partly digested food', ' Besides, The small intestine wall also secretes juices', ' the liver and the pancreas is the largest gland in the body', '5 meters long', ' The small intestine receives secretions from the liver and the pancreas', 'The small intestine is highly coiled and is about 7', ' carbohydrates, fats and proteins get broken into simple sugars such as glucose, fats into fatty acids and glycerol, and proteins into amino acids', ' the pancreas is a large cream coloured gland located just below the stomach', ' the liver and the pancreas secretes bile juice that is stored in a sac called the gallbladder', ' the liver and the pancreas is a reddish brown gland situated in the upper part of the abdomen on the right side', ' The bile plays an important role in the digestion of fats']"
111,what happens to the food when it enters the stomach from oesophagus?\n,"[' The stomach receives food from the food pipe at one end and opens into the small intestine at the other', ' The inner lining of The stomach secretes mucus, hydrochloric acid anddigestive juices', ' The inner lining of the stomach secretes mucus, hydrochloric acid anddigestive juices protects the lining of The stomach', 'The stomach is a thick-walled bag', ' hydrochloric acid kills many bacteria that enter along with the food and makes the medium in The stomach acidic and helps the digestive juices to act', ' the digestive juices to act break down the proteins into simpler substances']"
112,what is the function of the acid secreted by inner lining of stomach?\n,"[' The stomach receives food from the food pipe at one end and opens into the small intestine at the other', ' The inner lining of The stomach secretes mucus, hydrochloric acid anddigestive juices', ' The inner lining of the stomach secretes mucus, hydrochloric acid anddigestive juices protects the lining of The stomach', ' hydrochloric acid kills many bacteria that enter along with the food and makes the medium in The stomach acidic and helps the digestive juices to act', ' the digestive juices to act break down the proteins into simpler substances']"
113,when does the milk teeth fall off?\n,"[' The second set that replaces These are the permanent teeth', ' These are termed milk teeth', ' Each tooth is covered by a hard substance called enamel', ' the permanent teeth may last throughout life or fall off during old age or due to some dental disease', ' The first set of teeth grows during infancy and Ptyalin converts fall off at the age between six to eight years', ' There are four types of teeth, namely, incisors, canines, pre-molars and molars']"
114,what is the length of small intestine and large intestine?\n,"[' The small intestine receives secretions from the liver and the pancreas', ' The small intestine is wider and shorter than The small intestine', 'The small intestine is highly coiled and is about 7', '5 meter in length', ' The small intestine is about 1']"
115,which indicator is used to test an acid or base is china rose ?                 \n,"['Special types of substances are used to test whether a substance is acidic or basic', ', are some of the naturally occurring indicators', ' indicators change Special types of substancess color when added to a solution containing an acidic or a basic substance', ' Special types of substances are known as indicators', ' Turmeric, litmus, China rose petals Gudhal , etc']"
116,which is the major elements of weather at a place ?\n,"[' The temperature, humidity, and other factors are called the elements of the weather', ' The day-to-day condition of the atmosphere at a place with respect to the temperature, humidity, rainfall, windspeed, etc', 'The maximum and minimum temperatures recorded may be the same for some of the days', ', is called the weather at that place', ' It can happen sometimes that it is sunny in the morning, but suddenly clouds appear from nowhere and it starts raining heavily', ' The weather is such a complex phenomenon that The weather can vary over very short periods of time', ' Or, a heavy rain may vanish in a matter of minutes and give way to bright sunshine']"
117,which animals lives in polar region?\n,"[' Let us see how Animals living there are adapted by considering the examples of polar bears and penguins', ' It is to be noted that while fish can remain under cold water for long, birds must remain warm to survive', 'The polar regions present an extreme climate', ' The polar regions are covered with snow and it is very cold for most part of the year', ' Animals living there have adapted to these severe conditions', ' Other animals living in The polar regions are many types of fishes, musk oxen, reindeers, foxes, seals, whales, and birds', ' birds migrate to warmer regions when winter sets in']"
118,which of the following condition describes tropical rainforests?\n,"[' An important feature of The tropical region is the tropical rainforests', 'The tropical region has generally a hot climate because of The tropical regions location around the equator', ' Because of continuous warmth and rain, The tropical region supports a wide variety of plants and animals', ' The major types of animals living in the tropical rainforests are monkeys, apes, gorillas, tigers, elephants, leopards, lizards, lions, snakes, birds and insects', ' the tropical rainforests are found in Western Ghats and Assam in India, Southeast Asia, Central America and Central Africa']"
119,which conditions can describe the desert climate ?\n,"[' This is hot and dry', ' This is the typical desert climate', ' This region receives very little rainfall', 'For example Rajasthan, will show that the temperature is high during most part of the year', ' But during winter, which lasts only for a few months, the temperature is quite low', ' Therefore, we can say that the climate of the north-east is wet']"
120,what is the function of red blood cells? \n,"['Blood is composed of a fluid, called plasma in which different types of cells are suspended', ' a dark red clot is formed because of the presence of another type of cells in the blood, called platelets', ' One type of cells are the red blood cells   RBC , which contain a red pigment called hemoglobin', ' Hemoglobin binds with oxygen and transports Hemoglobin to all the parts of the body and ultimately to all the cells', ' It will be difficult to provide oxygen efficiently to all the cells of the body without hemoglobin', ' The presence of hemoglobin makes blood appear red']"
121,which of the following options represents the composition of blood?\n,"['Blood is composed of a fluid, called plasma in which different types of cells are suspended', ' a dark red clot is formed because of the presence of another type of cells in the blood, called platelets', ' One type of cells are the red blood cells   RBC , which contain a red pigment called hemoglobin', ' Hemoglobin binds with oxygen and transports Hemoglobin to all the parts of the body and ultimately to all the cells', ' The presence of hemoglobin makes blood appear red']"
122,which of the following is the correct order to show the transport of water from the soil to the leaf?\n,"[' root hair is in contact with the water present between the soil particles', ' root hair increases the surface area of the root for the absorption of water and mineral nutrients dissolved in water', ' Plants have pipe-like vessels to transport water and nutrients from the soil', ' pipe-like vessels to transport water and nutrients from the soil are made of special cells, forming the vascular tissue', ' the xylem forms a continuous network of channels that connects roots to the leaves through the stem and branches and thus transports water to the plant', 'Plants absorb water and minerals by the roots']"
123,what is the correct path of urine through the urinary system?\n,"[' The kidneys, ureters, bladder and urethra form the excretory system', ' From the kidneys, urine goes into the urinary bladder through tube-like ureters', ' When the blood reaches the kidneys, the blood contains both useful and harmful substances', ' The wastes dissolved in water are removed as urine', ' this is done by the blood capillaries in the kidneys', ' the urinary bladder is stored in the urinary bladder and is passed out through the urinary opening at the end of a muscular tube called urethra']"
124,what will happen when diaphragm relaxes and curves upwards?\n,"[' This movement increases space in our chest cavity and air rushes into Lungs', ' the nasal cavity is surrounded by ribs on the sides', ' This reduces the size of the chest cavity and air is pushed out of Lungs', ' Breathing involves the movement of the diaphragm and the rib cage', ' A large, muscular sheet called diaphragm forms the floor of the nasal cavity', ' During inhalation, ribs move up and outwards and diaphragm moves down', ' During exhalation, ribs move down and inwards, while diaphragm moves up to its former position']"
125,what happens during exhalation?\n,"[' This movement increases space in our chest cavity and air rushes into Lungs', ' This reduces the size of the chest cavity and air is pushed out of Lungs', ' Breathing involves the movement of the diaphragm and the rib cage', ' During inhalation, ribs move up and outwards and diaphragm moves down', ' During exhalation, ribs move down and inwards, while diaphragm moves up to its former position', ' Lungs get filled with air']"
126,what do we breathe out when we exhale?\n,"[' Our muscle cells can also respire anaerobically, but only for a short time, when there is a temporary deficiency of oxygen', ' Then anaerobic respiration takes places in the muscle cells to fulfil the demand of energy (in muscle) in the absence of oxygen', ' The taking in of air rich in oxygen into the body is called inhalation and giving out of air rich in carbon dioxide is known as exhalation', ' But the supply of oxygen to produce the energy is limited', 'Breathing means taking in air rich in oxygen and giving out air rich in carbon dioxide with the help of respiratory organs']"
127,which of the following statement is correct ?\n,"[' Our muscle cells can also respire anaerobically, but only for a short time, when there is a temporary deficiency of oxygen', ' Then anaerobic respiration takes places in the muscle cells to fulfil the demand of energy (in muscle) in the absence of oxygen', ' The taking in of air rich in oxygen into the body is called inhalation and giving out of air rich in carbon dioxide is known as exhalation', ' But the supply of oxygen to produce the energy is limited', 'Breathing means taking in air rich in oxygen and giving out air rich in carbon dioxide with the help of respiratory organs']"
128,what is the end product of glucose in the absence of oxygen in muscle cells?\n,"[' Our muscle cells can also respire anaerobically, but only for a short time, when there is a temporary deficiency of oxygen', ' Then anaerobic respiration takes places in the muscle cells to fulfil the demand of energy (in muscle) in the absence of oxygen', ' The taking in of air rich in oxygen into the body is called inhalation and giving out of air rich in carbon dioxide is known as exhalation', ' But the supply of oxygen to produce the energy is limited', ' Glucose lactic acid and energy']"
129,what happens in cockroaches with air exhalation?\n,"[' Similarly, carbon dioxide from the cells goes into the tracheal tubes and moves out through spiracles', ' Gasses can easily pass through Earthworms', 'A cockroach has small openings on the sides of A cockroach body', ' Oxygen rich air rushes through spiracles into the tracheal tubes, diffuses into the body tissue, and reaches every cell of its body', ' These air tubes or tracheae are found only in insects and not in any other group of animals', ' Insects have a network of air tubes called tracheae for gas exchange']"
130,how does earthworms respire ?\n,"['Earthworms breathe through Earthworms skins', ' The skin of an earthworm feels moist and slimy on touching', ' Similarly, carbon dioxide from the cells goes into the tracheal tubes and moves out through spiracles', ' Other insects also have similar openings', ' similar openings are called spiracles', ' Gasses can easily pass through Earthworms', ' Oxygen rich air rushes through spiracles into the tracheal tubes, diffuses into the body tissue, and reaches every cell of its body', ' Insects have a network of air tubes called tracheae for gas exchange']"
131,what is sewage treatment?\n,"[' The water that washes off roads and rooftops carries harmful substances with This process of wastewater treatment', ' Sewage is wastewater released by homes, industries, hospitals, offices and other users', ' This process of wastewater treatment also includes rainwater that has run down the street during a storm or heavy rain', 'Cleaning of water is a process of removing pollutants before Cleaning of water enters a water body or is reused', ' This process of wastewater treatment is commonly known as “Sewage Treatment”', ' Sewage is a liquid waste', ' This process of wastewater treatment takes place in several stages', ' Most of Sewage is water, which has dissolved and suspended impurities']"
132,what is the process of groundwater getting stored between the layers of hard rock called?.\n,"[' The upper level of this layer is called the water table', ' groundwater thus gets recharged by The process of seeping water into the ground', ' The process of seeping water into the ground is called infiltration', ' Water in the aquifers can be usually pumped out with the help of tube wells or handpumps', ' the water table may be at a depth of less than a metre or may be several metres below the ground', ' the water table varies from place to place, and it may even change at a given place', ' The rainwater and water from other sources such as rivers and ponds seeps through the soil and fills the empty spaces and cracks deep below the ground', ' The water found below the water table is called groundwater', 'At places the groundwater is stored between layers of hard rock below the water table', ' This is known as an aquifer']"
133,what is the upper limit of groundwater called?\n,"[' The moisture in the soil indicates the presence of water underground', ' If we dig a hole in the ground near a water body we may find that the soil is moist', ' The upper level of this layer is called the water table', ' the water table may be at a depth of less than a metre or may be several metres below the ground', ' Water in the aquifers can be usually pumped out with the help of tube wells or handpumps', ' groundwater thus gets recharged by The process of seeping water into the ground', ' the water table varies from place to place, and it may even change at a given place', ' The rainwater and water from other sources such as rivers and ponds seeps through the soil and fills the empty spaces and cracks deep below the ground', ' The water found below the water table is called groundwater', 'At places the groundwater is stored between layers of hard rock below the water table', ' This is known as an aquifer']"
134,how the ground water can be recharged?\n,"[' The moisture in the soil indicates the presence of water underground', ' groundwater thus gets recharged by The process of seeping water into the ground', ' The process of seeping water into the ground is called infiltration', ' Water in the aquifers can be usually pumped out with the help of tube wells or handpumps', ' the water table may be at a depth of less than a metre or may be several metres below the ground', ' the water table varies from place to place, and it may even change at a given place', ' The rainwater and water from other sources such as rivers and ponds seeps through the soil and fills the empty spaces and cracks deep below the ground', ' The water found below the water table is called groundwater', ' This is known as an aquifer']"
135,what is responsible for water shortage.\n,"[' Yet another factor affecting the water table could be deforestation and decrease in the effective area for seepage of water', ' Scanty rainfall is another factor that may deplete the water table', ' The water table does not get affected as long as we draw as much water as is replenished by natural processes', ' However, The water table may go down if as much water as is replenished by natural processes is not sufficiently replenished', ' Increase in population, industrial and agricultural activities are some common factors affecting water table']"
