No.,qno,Ans1,Ans2,Ans3,Ans4,Correct Ans,Question Type,Question Sentence 
101,101,in convection the  solids heat is transferred  \n,in convection heat is transferred in cold liquids.\n,in convection there is a need of medium for transmission.\n,in convection heat flows from the cold end to the hot end in a substance.\n,in convection there is a need of medium for transmission.\n,what,what happens in convection?\n
102,102,sea breeze is cold air moves from sea towards land during day time\n,sea breeze is hot air moves from sea towards land during day time\n,sea breeze is cold air moves from land towards sea during day time\n,sea breeze is cold air moves from land towards sea during all time.\n,sea breeze is cold air moves from sea towards land during day time\n,what,what is sea breeze ?\n
103,103,sea breeze is cold air moves from sea towards land during day time\n,sea breeze is hot air moves from sea towards land during day time\n,sea breeze is cold air moves from land towards sea during day time\n,sea breeze is cold air moves from land towards sea during all time.\n,sea breeze is cold air moves from land towards sea during day time\n,what,what happens in sea breeze during day time ?\n
104,104,ingestion-egestion-digestion-absorption-assimilation is the correct sequence of human nutrition\n,egestion-ingestion-absorption-assimilation is the correct sequence of human nutrition\n,digestion-assimilation-ingestion-absorption-egestion is the correct sequence of human nutrition\n,ingestion-digestion-absorption-assimilation-egestion is the correct sequence of human nutrition\n,ingestion-digestion-absorption-assimilation-egestion is the correct sequence of human nutrition\n,which,which of the following is the correct sequence of human nutrition?\n
105,105,bile  is called the tiny hollow structure on the wall of the small intestine which helps for the absorption of digested food\n,villi  is called the tiny hollow structure on the wall of the small intestine which helps for the absorption of digested food    \n,pile  is called the tiny hollow structure on the wall of the small intestine which helps for the absorption of digested food\n,small intestine  is called the tiny hollow structure on the wall of the small intestine which helps for the absorption of digested food.\n,villi  is called the tiny hollow structure on the wall of the small intestine which helps for the absorption of digested food\n,which,which tiny structure helps for the absorption of digested food?\n
106,106,respiratory system is responsible for producing enzymes that aid in breakdown of substances that are to be absorbed for the body's growth and repair\n,digestive system is responsible for producing enzymes that aid in breakdown of substances that are to be absorbed for the body's growth and repair\n,circulatory system is responsible for producing enzymes that aid in breakdown of substances that are to be absorbed for the body's growth and repair\n,nervous system is responsible for producing enzymes that aid in breakdown of substances that are to be absorbed for the body's growth and repair\n,digestive system is responsible for producing enzymes that aid in breakdown of substances that are to be absorbed for the body's growth and repair\n,which,which of the following systems is responsible for producing enzymes for breakdown of substances? \n
107,107,pseudopodia helps in digestion in amoeba  \n,cytoplasm  helps in digestion in amoeba      \n,nucleus helps in digestion in amoeba 	         \n,food vacuole helps in digestion in amoeba\n,pseudopodia helps in digestion in amoeba\n,which,which of the following helps in digestion in amoeba?\n
108,108,large intestine of the alimentary canal the complete digestion and absorption of food takes place\n,small intestine of the alimentary canal the complete digestion and absorption of food takes place\n,esophagus of the alimentary canal the complete digestion and absorption of food takes place\n,stomach of the alimentary canal the complete digestion and absorption of food takes place\n,small intestine of the alimentary canal the complete digestion and absorption of food takes place\n,which,which part of the alimentary canal is used to complete digestion and absorption of food ?\n
109,109,"large intestine of the alimentary canal, the liver and pancreas release the liver and pancreas secretions              \n","small intestine of the alimentary canal, the liver and pancreas release the liver and pancreas secretions\n","stomach of the alimentary canal, the liver and pancreas release the liver and pancreas secretions     \n","esophagus  of the alimentary canal, the liver and pancreas release the liver and pancreas secretions\n","small intestine of the alimentary canal, the liver and pancreas release the liver and pancreas secretions\n",where,where does the liver and pancreas release their secretions?\n
110,110,proteins is broken down into glucose by intestinal juice\n,carbohydrates is broken down into glucose by intestinal juice\n,vitamins is broken down into glucose by intestinal juice\n,roughage is broken down into glucose by intestinal juice\n,carbohydrates is broken down into glucose by intestinal juice\n,which,which one of the following is broken down into glucose by intestinal juice?\n
111,111,it is about 1.5m long\n,it is about 7.5m long\n,its walls secrete juices\n,it receives secretions from the liver.\n,it is about 1.5m long\n,which,which of the following is not correct for the small intestine? \n
112,112,food mixes when it enters the stomach from oesophagus with juices and digestion of carbohydrates starts.\n,food mixes when it enters the stomach from oesophagus with juices and digestion of protein starts.\n,food when it enters the stomach from oesophagus quickly moves into the small intestine.\n,food when it enters the stomach from oesophagus quickly moves into the large intestine.\n,food mixes when it enters the stomach from oesophagus with juices and digestion of protein starts\n,what,what happens to the food when it enters the stomach from oesophagus?\n
113,113,the function of the acid secreted by inner lining of stomach is to kill many bacteria\n,the function of the acid secreted by inner lining of stomach is to make the medium in the stomach alkaline\n,the function of the acid secreted by inner lining of stomach is to help in production.\n,the function of the acid secreted by inner lining of stomach is to help in secretion.\n,the function of the acid secreted by inner lining of stomach is to kill many bacteria\n,what,what is the function of the acid secreted by inner lining of stomach?\n
114,114,milk teeth fall off at 15 to 20\n,milk teeth fall off at 3 to 7      \n,milk teeth fall off at 6 to 8\n,milk teeth fall off at all ages\n,milk teeth fall off at 6 to 8\n,when,when does the milk teeth fall off?\n
115,115,the length of small intestine and large intestine are 7.5 m and 1.5 m   \n,the length of small intestine and large intestine are 1.5 m and 7.5 m\n,the length of small intestine and large intestine are 7.5 m and 1.0 m             \n,the length of small intestine and large intestine are 1.5 m and 7.0 m\n,the length of small intestine and large intestine are 7.5 m and 1.5 m\n,what,what is the length of small intestine and large intestine?\n
116,116,a synthetic indicator used to test an acid or base is china rose.              \n,a synthetic indicator used to test an acid or base is methyl orange\n,a synthetic indicator used to test an acid or base is turmeric                       \n,a synthetic indicator used to test an acid or base is litmus\n,a synthetic indicator used to test an acid or base is methyl orange\n,which,which indicator is used to test an acid or base is china rose ?                 \n
117,117,temperature  is a major element of whether at a place                \n,wind  is a major element of whether at a place\n,sunrise  is a major element of whether at a place           \n,rainfall is a major element of whether at a place.\n,temperature  is a major element of whether at a place                \n,which,which is the major elements of weather at a place ?\n
118,118,musk ox is the animal which lives in polor region        \n,leopard is the animal which lives in polar region \n,ostrich is the animal which lives in polar region            \n,no animal live in the polar region.\n,musk ox is the animal which lives in polor region   \n,which,which animals lives in polar region?\n
119,119,hot and dry briefly describes tropical rainforests                  \n,dry and humid briefly describes tropical rainforests\n,cold and dry briefly describes tropical rainforests                \n,hot and wet briefly describes tropical rainforests\n,hot and wet briefly describes tropical rainforests\n,which,which of the following condition describes tropical rainforests?\n
120,120,wet and cold conditions can describe the desert climate                      \n,hot and humid conditions can describe the desert climate\n,hot and  wet weather conditions can describe the desert climate\n,hot and dry conditions can describe the desert climate\n,hot and dry conditions can describe the desert climate\n,which,which conditions can describe the desert climate ?\n
121,121,transports oxygen is the function of red blood cells\n,transports water is the function of red blood cells\n,fight against germs is the function of red blood cells\n,helps in blood clotting is the function of red blood cells\n,transports oxygen is the function of red blood cells\n,what,what is the function of red blood cells? \n
122,122,"blood vessels, platelets and red blood cells only represents the composition of blood\n","plasma, red blood cells, white blood cells and platelets only represents the composition of blood\n","red blood cells, white blood cells and blood platelets only represents the composition of blood\n","plasma, red blood cells and white blood cells only represents the composition of blood\n","plasma, red blood cells, white blood cells and platelets only represents the composition of blood\n",which,which of the following options represents the composition of blood?\n
123,123,root-root hair-phloem-leaf is the correct order to show the transport of water from the soil to the leaf of a plant\n,root hair-root-xylem-leaf is the correct order to show the transport of water from the soil to the leaf of a plant,root-root hair-leaf-phloem is the correct order to show the transport of water from the soil to the leaf of a plant\n,root-xylem-phloem-leaf is the correct order to show the transport of water from the soil to the leaf of a plant\n,root-root hair-phloem-leaf is the correct order to show the transport of water from the soil to the leaf of a plant\n,which,which of the following is the correct order to show the transport of water from the soil to the leaf?\n
124,124,bladder-urethra-kidney-ureter is the correct path of urine through the urinary system\n,ureter-kidney-bladder-urethra is the correct path of urine through the urinary system\n,kidney-ureter-urethra-bladder is the correct path of urine through the urinary system\n,kidney-ureter-bladder-urethra is the correct path of urine through the urinary system\n,kidney-ureter-bladder-urethra is the correct path of urine through the urinary system\n,what,what is the correct path of urine through the urinary system?\n
125,125,when diaphragm relaxes and curves upwards air is forced out of the lungs.\n,when diaphragm relaxes and curves upwards the rib cage goes up and outward.\n,when diaphragm relaxes and curves upwards the volume of the thoracic cavity increases.\n,when diaphragm relaxes and curves upwards air pressure inside the thoracic cavity decreases.\n,when diaphragm relaxes and curves upwards air is forced out of the lungs\n,what,what will happen when diaphragm relaxes and curves upwards?\n
126,126,during exhalation size of chest cavity increases\n,during exhalation size of chest cavity decreases\n,during exhalation size of chest cavity remains same\n,during exhalation size of chest cavity first increases then decreases\n,during exhalation size of chest cavity decreases\n,what,what happens during exhalation?\n
127,127,"when we inhale, we breathe in air into the lungs. oxygen gas we breathe out when we exhale.\n","when we inhale, we breathe in air into the lungs. hydrogen gas we breathe out when we exhale.","when we inhale, we breathe in air into the lungs.  we breathe out the air that has more oxygen than inhaled air.\n","when we inhale, we breathe in air into the lungs.  we breathe out the air that has more carbon dioxide than inhaled air.\n","when we inhale, we breathe in air into the lungs.  we breathe out the air that has more carbon dioxide than inhaled air\n",what,what do we breathe out when we exhale?\n
128,128,exhaled air contains more oxygen and less carbon dioxide.\n,exhaled air contains less oxygen and less carbon dioxide.\n,inhaled air contains equal amounts of carbon dioxide and oxygen.\n,exhaled air contains more carbon dioxide and less oxygen.\n,exhaled air contains more carbon dioxide and less oxygen\n,which,which of the following statement is correct ?\n
129,129,is the end product of glucose in the absence of oxygen in muscle cells carbon dioxide\n,is the end product of glucose in the absence of oxygen in muscle cells lactic acid\n,is the end product of glucose in the absence of oxygen in muscle cells ethanol\n,is the end product of glucose in the absence of oxygen in muscle cells water\n,is the end product of glucose in the absence of oxygen in muscle cells lactic acid\n,what,what is the end product of glucose in the absence of oxygen in muscle cells?\n
130,130,"in cockroaches, air enters through gills           	              \n","in cockroaches, air enters through trachea\n","in cockroaches, air enters through skin           	              \n","in cockroaches, air enters through spiracles\n","in cockroaches, air enters through spiracles\n",what,what happens in cockroaches with air exhalation?\n
131,131,earthworms respire through moist skin       \n,earthworms respire through clitellum\n,earthworms respire through spiracles         \n,earthworms respire through lungs\n,earthworms respire through moist skin\n,how,how does earthworms respire ?\n
132,132,sewage treatment is a process of waste water treatment.\n,"sewage treatment refers to waste water that is released by homes, industries, hospitals etc.\n",sewage treatment refers to the rain water that run down the streets during heavy rains.\n,sewage treatment refers to rain harvesting.\n,sewage treatment is a process of waste water treatment\n,what,what is sewage treatment?\n
133,133,the process of groundwater getting stored between the layers of hard rock below the water table is known as infiltration      	         \n,the process of groundwater getting stored between the layers of hard rock below the water table is known as aquifer\n,the process of groundwater getting stored between the layers of hard rock below the water table is known as water table     	         \n,the process of groundwater getting stored between the layers of hard rock below the water table is known as bawri\n,the process of groundwater getting stored between the layers of hard rock below the water table is known as aquifer\n,what,what is the process of groundwater getting stored between the layers of hard rock called?.\n
134,134,upper limit of groundwater is called water table        \n,upper limit of groundwater is called aquifer\n,upper limit of groundwater is called freshwater     	          \n,upper limit of groundwater is called soil water\n,upper limit of groundwater is called water table\n,what,what is the upper limit of groundwater called?\n
135,135,ground water can be recharged by infiltration  \n,ground water can be recharged by rain water flow\n,ground water can be recharged by water table     	        \n,ground water can be recharged by aquifers\n,ground water can be recharged by infiltration\n,how,how the ground water can be recharged?\n
136,136,increase in population is not responsible for water shortage\n,rapid growth of industries is not responsible for water shortage\n,heavy rainfall is not responsible for water shortage\n,deforestation is not responsible for water shortage\n,heavy rainfall is not responsible for water shortage\n,what,what is responsible for water shortage.\n
137,137,sexual reproduction is the process by which plants give rise to new plants without seeds.\n,vegetative propagation is the process by which plants give rise to new plants without seeds.\n,asexual reproduction   is the process by which plants give rise to new plants without seeds.\n,budding  is the process by which plants give rise to new plants without seeds.\n,vegetative propagation  is the process by which plants give rise to new plants without seeds.\n,which,"in which process, plants give rise to new plants without seeds?\n"
138,138,increasing concentration of toxic substances in the tissues of organisms at successively higher levels in a food chain is eutrophication   \n,increasing concentration of toxic substances in the tissues of organisms at successively higher levels in a food chain is biomagnification\n,increasing concentration of toxic substances in the tissues of organisms at successively higher levels in a food chain is global warming\n,increasing concentration of toxic substances in the tissues of organisms at successively higher levels in a food chain is nitrogen fixation\n,increasing concentration of toxic substances in the tissues of organisms at successively higher levels in a food chain is biomagnification\n,what,what happens with increasing concentration of toxic substances in the tissues of organisms/\n
139,139,horizons differ from each other in shape.\n,horizons differ from each other in depth\n,horizons differ from each other in chemical composition\n,horizons differ from each other in concentration.\n,horizons differ from each other in chemical composition\n,how,how does horizons differ?\n
140,140,while digging a well one be able to see the soil profile\n,while constructing a building one be able to see the soil profile\n,while making a deep cut one be able to see the soil profile.\n,while rain one be able to see the soil profile\n,while digging a well one be able to see the soil profile\n,how,how  one can be able to see the soil profile?\n
141,141,the upper most horizon of soil is fade in colour .\n,the upper most horizon of soil is rich in humus\n,the upper most horizon of soil is rich in salts         \n,the upper most horizon of soil is brittle.\n,the upper most horizon of soil is rich in humus\n,how,how does the upper most horizon of soil looks?\n
142,142,"humus is present, in b-layer, in larger, quantities     	               \n","minerals is present, in b-layer, in larger, quantities\n","water is present, in b-layer, in larger, quantities 	               \n","air is present, in b-layer, in larger, quantities\n","minerals is present, in b-layer, in larger, quantities\n",what,"what is present, in b-layer, in larger, quantities?\n"
143,143,the top soil is best for growing plants contains  minerals  	 \n,the top soil is best for growing plants contains  silt\n,the top soil is best for growing plants contains  rocks	  \n,the top soil is best for growing plants contains  sand.	  \n,the top soil is best for growing plants contains  silt\n,what,what does the top soil  contains?\n
144,144,severe loss of life and property occures with destruction caused by cyclones.\n,fertility of soil is reduced with destruction caused by cyclones.\n,rainfall is reduced with destruction caused by cyclones.\n,energy is reduced with destruction caused by cyclones.\n,severe loss of life and property occures with destruction caused by cyclones.\n,which,which of the following is correct statement about destruction caused by cyclones?\n
145,145,antimony and arsenic belong to metal,antimony and arsenic belong to metalloids,antimony and arsenic belong to nonmetal,antimony and arsenic belong to mineral,antimony and arsenic belong to mettaloid,which,which category do antimony and arsenic belong?
146,146,Mercury is called a noble metal,Gold is called a noble metal,Lithium is called a noble metal,Caesium is called a noble metal,Gold is called a noble metal,which,which of the following is called noble metal ?
147,147,Nitrogen substances will prevent corrosion of metals,Hydrogen substances will prevent corrosion of metals.,Oxygen substances will prevent corrosion of metals.,Carbon substances will prevent corrosion of metals.,nitrogen substances will prevent corrosion of metals.,which,Which of the following substances will prevent corrosion of metals?
148,148,Ductility is NOT a general property of metals.,Malleability is NOT a general property of metals.,bad conductor of electricity is NOT a general property of metals.,Sonorous nature is NOT a general property of metals.,bad conductor of elecricity is NOT a general property of metals.,which,Which of the following is NOT a general property of metals
149,149,Malleability property of metal is used to make thin wires.,Ductility property of metal is used to make thin wires.,Conductivity property of metal is used to make thin wires.,electricity property of metal is used to make thin wires.,Ductility property of metal is used to make thin wires.,which,Which property of metal is used to make thin wires?
150,150,Carbon non metal can conduct electricity.,Graphite non metal can conduct electricity.,Diamond non metal can conduct electricity.,nitrogen non metal can conduct electricity..,Graphite non metal can conduct electricity.,which,Which non metal can conduct electricity?
151,151,Millet is a rabi crop.,Soyabean is a .rabi crop,Linseed is a r.abi crop,Paddy is a rabi crop.,Linseed is a rabi crop.,which,Which one of the following is a rabi crop ?
152,152,the use of Cultivator is Irrigation,the use of Cultivator is Transplantation,the use of Cultivator is Sowing seeds,the use of Cultivator is Tilling,the use of Cultivator is Tilling,what,What is the use of Cultivator ?
153,153,Dhekli system is most suitable for the uneven land,Sprinkler system is most suitable for the uneven land,Drip system is most suitable for the uneven land,Rahat system is most suitable for the uneven land,Sprinkler system is most suitable for the uneven land,which,Which system of irrigation among the following is most suitable for the uneven land?
154,154,In Moat system irrigation is done by using rotating nozzles.,In Chain pump irrigation is done by using rotating nozzles.,In Sprinkler system irrigation is done by using rotating nozzles.,in Drip system irrigation is done by using rotating nozzles.,In Sprinkler system irrigation is done by using rotating nozzles.,which,which of the following  irrigation is done  using rotating nozzles
155,155,Harvesting the crop  is the use of a  Combine machine .,Sowing the crop  is the use of a  Combine machine.,Winnowing the crop  is the use of a  Combine machine.,sprinkling  is the use of a  Combine machine.,Harvesting the crop  is the use of a  Combine machine .,what,What is the use of a  Combine machine ?
156,156,Silos is used for harvesting the crops.,Silos is used for threshing the corps,Silos is used for storing the grains.,Silos is used for Irrigation of the crops.,Silos is used for storing the grains.,what,What is the use of Silos?
157,157,Drip system  is not the traditional methods of irrigations.,Moat  is not the traditional methods of irrigations.,Chain pump  is not the traditional methods of irrigations.,Dhekli  is not the traditional methods of irrigations.,Drip system  is not the traditional methods of irrigations.,which,Which one of the following methods is not the traditional methods of irrigations?
158,158,dough rise after mixing of yeast to it because there is an increase in temperature.,dough rise after mixing of yeast to it because there is an increase in the amount of substance,dough rise after mixing of yeast to it because there is an increase in the amount of released water by yeast cells,dough rise after mixing of yeast to it because there is the release of carbon dioxide gas.,dough rise after mixing of yeast to it because there is the release of carbon dioxide gas.,why,Why the dough rise after mixing of yeast to it ?
159,159,Decomposition  takes place when yeast is added to grape juice and left for a week.,Fermentation  takes place when yeast is added to grape juice and left for a week.,Distillation  takes place when yeast is added to grape juice and left for a week.,Oxidation  takes place when yeast is added to grape juice and left for a week.,Fermentation  takes place when yeast is added to grape juice and left for a week.,what,What process takes place when yeast is added to grape juice and left for a week?
160,160,Antigens cause diseases.,Antibodies cause diseases.,Pathogens cause diseases.,Vectors cause diseases.,Pathogens cause diseases.,which,Which micro organisms cause diseases?
161,161,Cholera disease  is caused by protozoa.,Malaria disease  is caused by protozoa.,Jaundice disease  is caused by protozoa.,Hepatitis B disease  is caused by protozoa.,Malaria disease  is caused by protozoa.,which,Which disease  is caused by protozoa ?
162,162,microorganisms are useful to us because they are used in the production of chemical fertilizers.,microorganisms are useful to us because they are used in the production of fireworks.,microorganisms are useful to us because they are used in production of soft drinks.,microorganisms are useful to us because they are used in the production of antibiotics.,microorganisms are useful to us because they are used in the production of antibiotics.,why,Why are micro organisms useful to us?
163,163,"nylon useful because It is soft, strong and light.","nylon useful because It is transparent, light and easy to wash.","nylon useful because It is strong, elastic and light."," nylon useful because It is soft, inexpensive and strong.","nylon useful because It is strong, elastic and light.",why,Why is nylon useful?
164,164,Rayon is purely a synthetic fiber,Nylon is purely a synthetic fiber,Cotton is purely a synthetic fiber,Flax is purely a synthetic fiber,Nylon is purely a synthetic fiber,which,Which of the following is purely a synthetic fiber?
165,165,Yeast  is responsible for fruit smell.,Alcohol  is responsible for fruit smell.,Cellulose  is responsible for fruit smell.,Esters  is responsible for fruit smell.,Esters  is responsible for fruit smell.,which,Which of the following chemicals is responsible for fruit smell ?
166,166,plastic example of PVC.,thermoplastic example of PVC.,thermosetting plastic example of PVC.,acrylic example of PVC.,thermoplastic example of PVC.,which,Which of the following is example of PVC ?
167,167,Bakelite  can be remolded.,Melamine  can be remolded.,Polythene  can be remolded.,Polycot  can be remolded.,Polythene  can be remolded.,which,Which of the following plastic products can be remolded?
168,168,Wood pulp  is used to prepare synthetic fibres like polyester and acrylic.,Coconut fibres  is used to prepare synthetic fibres like polyester and acrylic.,Petrochemicals  is used to prepare synthetic fibres like polyester and acrylic.,Paper pulp  is used to prepare synthetic fibres like polyester and acrylic.,Petrochemicals  is used to prepare synthetic fibres like polyester and acrylic.,which,Which of the given materials is used to prepare synthetic fibres like polyester and acrylic?
169,169,Rayon is the name of artificial wool.,Acrylic is the name of artificial wool.,Polycot is the name of artificial wool.,Polyester is the name of artificial wool.,Acrylic is the name of artificial wool.,what,what is the name of artificial wool ?
170,170,It becomes a good conductor of heat.,It becomes strong and flexible,It becomes a fire proof plastic,It is remouldable,It becomes a fire proof plastic,why,Why is plastic coated with melamine?
171,171,Flame resistant  is a property of thermosetting plastic.,corrosive  is a property of thermosetting plastic.,inflexible  is a property of thermosetting plastic.,Conductivity  is a property of thermosetting plastic.,Flame resistant  is a property of thermosetting plastic.,which,Which of the following is a property of thermosetting plastic?
172,172,Good Conductors of electricity is the property of plastics.,Good conductors of heat is the property of plastics.,mouldable is the property of plastics.,Conductivity is the property of plastics.,mouldable is the property of plastics.,which,Which one of the following is the property of plastics?
173,173,Rayon is different from synthetic fibers because It has a silk-like appearance.,Rayon is different from synthetic fibers because It is obtained from wood pulp.,Rayon is different from synthetic fibers because Its fibers can also be woven like those of natural fibers.,Rayon is different from synthetic fibers because it is obtained from moth.,Rayon is different from synthetic fibers because It is obtained from wood pulp.,why,Why Rayon is different from synthetic fibers ?
174,174,Rayon  is present in wood pulp.,Cellulose  is present in wood pulp.,Chlorophyll  is present in wood pulp.,Silk  is present in wood pulp.,Rayon  is present in wood pulp.,which,Which of the following Natural polymer is present in wood pulp?
175,175,Coal will be flattened on beating with a hammer.,Sulfur will be flattened on beating with a hammer.,Zinc will be flattened on beating with a hammer.,copper will be flattened on beating with a hammer.,copper will be flattened on beating with a hammer.,which,Which one of the following will be flattened by beating with a hammer?
176,176,Ductility describe substance can be hammered into sheets.,Luster describe substance can be hammered into sheets.,Malleability describe substance can be hammered into sheets.,Conductivity describe substance can be hammered into sheets.,Malleability describe substance can be hammered into sheets.,which,Which of the following property describe substance can be hammered into sheets?
177,177,Magnesium reacts with cold water vigorously.,Sodium reacts with cold water vigorously.,Coke reacts with cold water vigorously.,Carbon dioxide reacts with cold water vigorously.,Sodium reacts with cold water vigorously.,which,Which of the following metals reacts vigorously with cold water ?
178,178,Coal tar is used for metalling the road.,Paraffin wax is used for metalling the road.,Bitumen is used for metalling the road.,Diesel is used for metalling the road.,Bitumen is used for metalling the road.,which,Which petroleum product is used for metalling the road?
179,179,Coke  is used in the extraction of metals.,Coal gas  is used in the extraction of metals.,Coal tar  is used in the extraction of metals.,Petroleum  is used in the extraction of metals.,Coke  is used in the extraction of metals.,which,Which one of the following is used in the extraction of metals?
180,180,Coal gas obtained by burning coal in the presence of air.,Coal tar obtained by burning coal in the presence of air.,Coke obtained by burning coal in the presence of air.,Carbon dioxide obtained by burning coal in the presence of air.,Carbon dioxide obtained by burning coal in the presence of air.,which,Which of the following  product obtained by burning coal in the presence of air ?
181,181,Kerosene  is the cleanest fuel.,Petrol  is the cleanest fuel.,CNG  is the cleanest fuel.,Hydrogen gas  is the cleanest fuel.,CNG  is the cleanest fuel.,which,Which of the following is the cleanest fuel?
182,182,Trivendrum  is the deposits of natural gas found in India.,Keral  is the deposits of natural gas found in India.,Maharashtra  is the deposits of natural gas found in India.,Madhyapradesh  is the deposits of natural gas found in India.,Maharashtra  is the deposits of natural gas found in India.,where,Where is the deposits of natural gas found in India?
183,183,Sunlight is fossil fuels.,Air is fossil fuels.,Coal is fossil fuels.,Water is fossil fuels.,Coal is fossil fuels.,which,Which of the following is fossil fuels?
184,184,Petrochemical Consumption Research Association  is referred  as PCRA.,Petroleum Conservation Resource Association  is referred  as PCRA.,Petroleum Conservation Research Association  is referred  as PCRA.,Petroleum Consumption Research Association  is referred  as PCRA.,,which,Which of the following is referred  as PCRA?
185,185,Coal  is not a petroleum product.,Gasoline  is not a petroleum product.,Diesel  is not a petroleum product.,Petroleum gas  is not a petroleum product.,Coal  is not a petroleum product.,which,Which one of the following is not a petroleum product?
186,186,petroleum  is referred as black gold.,Coke oil  is referred as black gold.,Coal tar  is referred as black gold.,Coal gas  is referred as black gold.,petroleum  is referred as black gold.,which,Which of the following is referred as black gold?
187,187,Have high ignition temperature,Have low ignition temperature,Cannot catch fire easily,Have no effect on temperature,Have low ignition temperature,which,Which of the following refer highly inflammable substances
188,188,copper are examples of inflammable substances.,petrol are examples of inflammable substances.,steel are examples of inflammable substances.,aluminium are examples of inflammable substances.,petrol are examples of inflammable substances.,which,Which of the following are examples of inflammable substances?
189,189,Joule per gram  is the Unit of calorific value of a fuel.,Kilojoule per liter  is the Unit of calorific value of a fuel.,Kilojoule per kilogram  is the Unit of calorific value of a fuel.,Kilogram per milliliter  is the Unit of calorific value of a fuel.,Kilojoule per kilogram  is the Unit of calorific value of a fuel.,what,What is the Unit of calorific value of a fuel?
190,190,Water  is required for producing fire.,Fuel  is required for producing fire.,carbon dioxide  is required for producing fire.,steam  is required for producing fire.,Fuel  is required for producing fire.,what,What is required for producing fire?
191,191,water can be used as an extinguisher when Wood and paper are on fire.,water can be used as an extinguisher when Electrical appliance is on fire.,water can be used as an extinguisher when oil is on fire.,water can be used as an extinguisher fire when petrol is on fire.,water can be used as an extinguisher when Wood and paper are on fire.,when,When water can be used as an extinguisher?
192,192,Deforestation decreases the level of carbon dioxide in atmosphere.,Deforestation increases the level of carbon dioxide in atmosphere.,Deforestation increases the level of fluorine in atmosphere.,Deforestation increases the level of notrogen in atmosphere.,Deforestation increases the level of carbon dioxide in atmosphere.,how,How deforestation affects atmosphere?
193,193,fertile land is converted to dessert by desertification.,fertile land is converted to dessert by deforestation.,fertile land is converted to dessert by global warming.,fertile land is converted to dessert by drought.,fertile land is converted to dessert by desertification.,how,How fertile land is converted to dessert?
194,194,global warming  is the effect of increased carbon dioxide in the atmosphere.,decrease in temperature  is the effect of increased carbon dioxide in the atmosphere.,decrease in humidity  is the effect of increased carbon dioxide in the atmosphere.,Deforestation  is the effect of increased carbon dioxide in the atmosphere.,global warming  is the effect of increased carbon dioxide in the atmosphere.,what,What is the effect of increased carbon dioxide in the atmosphere?
195,195,the large area of scenic beauty protected for flora and fauna is called play park.,the large area of scenic beauty protected for flora and fauna is called botanical garden.,the large area of scenic beauty protected for flora and fauna is called National park.,the large area of scenic beauty protected for flora and fauna is called red zone.,the large area of scenic beauty protected for flora and fauna is called National park.,what,What is the large area of scenic beauty protected for flora and fauna called?
196,196,plantation is refered for variety of life on earth.,biodiversity is refered for variety of life on earth.,ecosystem is refered for variety of life on earth.,zoo is refered for variety of life on earth.,biodiversity is refered for variety of life on earth.,which,which one of the following is refered for variety of life on earth?
197,197,botanical garden is biosphere reserve.,a free land  is biosphere reserve.,wildlife sanctury and national park  is a biosphere reserve.,museum is biosphere reserve.,wildlife sanctury and national park is biosphere reserve.,what,what is biosphere reserve?
198,198,leopord  is the epidemic fauna of Panchmarhi Biosphere reserve.,fern  is the epidemic fauna of Panchmarhi Biosphere reserve.,bear  is the epidemic fauna of Panchmarhi Biosphere reserve.,bison  is the epidemic fauna of Panchmarhi Biosphere reserve.,bison  is the epidemic fauna of Panchmarhi Biosphere reserve.,which,which one of the following is the epidemic fauna of Panchmarhi Biosphere reserve?
199,199,the species of plants and animals are found exclusively in specific area are called imbalanced.,the species of plants and animals are found exclusively in specific area are called endemic.,the species of plants and animals are found exclusively in specific area are called  extinct.,the species of plants and animals are found exclusively in specific area are called  rare.,the species of plants and animals are found exclusively in specific area are called  endemic.,what,what are the species of plants and animals are found exclusively in specific area called?
200,200,plantation affect existence of endemic species.,destruction of forests affect existence of endemic species..,national parks affect existence of endemic species.,botanical garden affect existence of endemic species..,destruction of forests affect existence of endemic species..,which,which of the following factors affect existence of endemic species.
201,201,jamun is a flora of Panchmarhi biosphere reserve.,leopard is a flora of Panchmarhi biosphere reserve.,dog is a flora of Panchmarhi biosphere reserve.,peepal is a flora of Panchmarhi biosphere reserve.,jamun is a flora of Panchmarhi biosphere reserve.,which,which one of the following is a flora of Panchmarhi biosphere reserve?
202,202,"Chinkara, Cheetal, Pine, Jamun is flora of a region.","Wild mango, Cheetal, Teak, Jamun is flora of a region.","Chinkara, Pine, Teak, Wild mango is flora of a region.","Teak, Pine, Jamun, Wild mango is flora of a region.","Chinkara, Pine, Teak, Wild mango is flora of a region.",which,which one of the following is flora of a region?
203,203,dinosaur belongs to dintinct category.,dinosaur belongs to exotic category.,dinosaur belongs to extinct category.,dinosaur belongs to unique category.,dinosaur belongs to extinct category.,which,which of the following category dinosaur belongs?
204,204,cell membrane and cytoplasm  is related to inheritance from one generation to another.,Nucleolus and mitochondria  is related to inheritance from one generation to another.,chloroplast and cell membrane  is related to inheritance from one generation to another.,chromosomes and genes  is related to inheritance from one generation to another.,chromosomes and genes  is related to inheritance from one generation to another.,which,which one of the following is related to inheritance from one generation to another.
